id_orden,fecha_produccion,linea_produccion,producto,turno,operador,maquina,unidades_planificadas,unidades_producidas,unidades_defectuosas,tiempo_ciclo_min,tiempo_paro_min,causa_paro,temperatura_c,consumo_energia_kwh,costo_produccion_cop,eficiencia_pct,tasa_defectos_pct,semana
OP-2078,2024-06-02,Línea B,Tuerca M8,Mañana,OP-103,Torno-01,3384,2924,54,6.07,113.6,Cambio de turno,25.9,234.5,1737000.0,86.41,1.85,22
OP-2079,2024-09-25,Línea A,Varilla Roscada,Tarde,OP-111,Torno-01,2849,1073,153,2.29,65.5,Falla eléctrica,36.8,452.3,407000.0,37.66,14.26,39
OP-2080,2024-09-10,Línea D,Tornillo M8,Mañana,OP-108,Prensa-01,4384,507,125,1.8,41.6,Sin causa,41.1,234.54,3376000.0,11.56,24.65,37
OP-2081,2024-06-24,Línea B,Remache 6mm,Tarde,OP-111,CNC-02,2450,3279,48,4.85,116.9,Mantenimiento,24.2,544.6,2002000.0,100.0,1.46,26
OP-2082,2024-08-17,Línea D,Arandela 10mm,Tarde,OP-105,CNC-02,4676,2278,166,7.4,2.0,Falla eléctrica,21.4,714.75,2810000.0,48.72,7.29,33
OP-2083,2024-05-27,Línea D,"Clavo 3""",Mañana,OP-106,Torno-02,1593,1449,182,2.4,5.9,Falla eléctrica,43.9,650.09,1153000.0,90.96,12.56,22
OP-2084,2024-11-07,Línea D,Varilla Roscada,Noche,OP-104,Torno-01,2216,1209,123,4.55,58.4,Mantenimiento,29.5,639.81,293000.0,54.56,10.17,45
OP-2085,2024-02-07,Línea B,Tuerca M8,Noche,OP-102,CNC-02,2273,1659,96,2.48,70.4,Sin causa,32.4,209.91,665000.0,72.99,5.79,6
OP-2086,2024-03-01,Línea D,Perno M12,Noche,OP-107,Prensa-01,1973,4887,70,6.06,0.8,Sin causa,30.3,75.21,3276000.0,100.0,1.43,9
OP-2087,2024-09-19,Línea D,Tornillo M8,Noche,OP-109,Torno-02,2766,1647,121,4.0,22.5,Sin causa,40.4,202.81,812000.0,59.54,7.35,38
OP-2088,2024-08-02,Línea A,Perno M12,Tarde,OP-106,CNC-02,2900,4557,124,3.34,10.3,Sin causa,29.6,477.65,1628000.0,100.0,2.72,31
OP-2089,2024-03-25,Línea D,Alambre Galv.,Noche,OP-110,CNC-02,1315,2522,184,5.42,30.0,Cambio de turno,38.4,143.63,3041000.0,100.0,7.3,13
OP-2090,2024-06-24,Línea B,Tornillo M8,Tarde,OP-110,Prensa-01,2163,2399,77,4.49,21.9,Falla eléctrica,32.1,125.13,1511000.0,100.0,3.21,26
OP-2091,2024-03-18,Línea D,Alambre Galv.,Noche,OP-108,CNC-01,4031,1294,14,2.01,14.9,Sin causa,20.2,798.39,2469000.0,32.1,1.08,12
OP-2092,2024-09-07,Línea C,"Clavo 3""",Tarde,OP-106,Torno-02,1819,4276,1,3.62,15.5,Sin causa,31.8,315.76,2180000.0,100.0,0.02,36
OP-2093,2024-08-03,Línea B,Perno M12,Mañana,OP-110,Torno-02,810,2790,30,7.67,44.6,Mantenimiento,41.1,97.7,3931000.0,100.0,1.08,31
OP-2094,2024-01-21,Línea B,Tuerca M8,Mañana,OP-101,CNC-01,2124,2030,97,6.51,15.4,Sin causa,32.3,433.63,2136000.0,95.57,4.78,3
OP-2095,2024-12-08,Línea B,Tuerca M8,Tarde,OP-100,Prensa-02,1422,3412,59,4.34,92.8,Cambio de turno,28.6,573.07,1559000.0,100.0,1.73,49
OP-2096,2024-02-09,Línea B,Varilla Roscada,Noche,OP-107,Prensa-01,2452,3925,115,5.45,48.3,Sin causa,18.7,395.19,4933000.0,100.0,2.93,6
OP-2097,2024-10-12,Línea B,Varilla Roscada,Mañana,OP-106,CNC-02,1946,2092,192,1.57,14.0,Sin causa,36.9,148.53,1029000.0,100.0,9.18,41
OP-2098,2024-10-20,Línea D,Arandela 10mm,Mañana,OP-108,Torno-02,3693,948,83,3.6,78.2,Sin causa,28.6,436.13,3274000.0,25.67,8.76,42
OP-2099,2024-06-09,Línea D,Tuerca M8,Mañana,OP-105,Torno-02,3879,671,106,7.21,94.6,Sin causa,26.7,101.82,3194000.0,17.3,15.8,23
OP-2100,2024-06-23,Línea C,Alambre Galv.,Tarde,OP-104,CNC-01,1350,2656,156,1.91,43.2,Falla eléctrica,28.0,597.81,1878000.0,100.0,5.87,25
OP-2101,2024-12-21,Línea D,"Clavo 3""",Tarde,OP-103,Torno-01,4708,3645,5,7.86,0.7,Cambio de turno,29.3,754.28,3770000.0,77.42,0.14,51
OP-2102,2024-06-28,Línea C,Tornillo M8,Noche,OP-100,Prensa-02,3189,2194,148,6.86,78.0,Cambio de turno,27.1,81.44,3818000.0,68.8,6.75,26
OP-2103,2024-10-31,Línea C,Tornillo M8,Mañana,OP-107,Torno-01,4000,3109,83,5.65,90.5,Sin causa,25.9,477.88,2487000.0,77.72,2.67,44
OP-2104,2024-09-11,Línea B,Tuerca M8,Mañana,OP-104,Torno-02,3390,3501,40,3.3,106.7,Mantenimiento,30.4,673.15,1751000.0,100.0,1.14,37
OP-2105,2024-10-23,Línea D,Tuerca M8,Tarde,OP-100,Torno-01,2750,2964,193,1.19,85.6,Falla eléctrica,19.3,530.42,744000.0,100.0,6.51,43
OP-2106,2024-08-21,Línea D,"Clavo 3""",Tarde,OP-108,Torno-01,1060,2597,58,2.71,71.6,Mantenimiento,24.1,161.82,4376000.0,100.0,2.23,34
OP-2107,2024-02-05,Línea D,Tuerca M8,Tarde,OP-110,CNC-01,4371,716,45,6.06,41.2,Sin causa,29.8,101.12,4922000.0,16.38,6.28,6
OP-2108,2024-02-17,Línea C,Varilla Roscada,Tarde,OP-105,Torno-02,4755,3261,79,3.66,29.3,Falla eléctrica,41.9,393.11,1546000.0,68.58,2.42,7
OP-2109,2024-05-18,Línea D,Arandela 10mm,Noche,OP-111,Prensa-01,2051,449,15,6.52,7.8,Sin causa,29.6,86.2,1737000.0,21.89,3.34,20
OP-2110,2024-08-30,Línea A,Alambre Galv.,Noche,OP-100,Torno-02,1185,1700,53,2.12,98.3,Sin causa,33.0,677.61,3300000.0,100.0,3.12,35
OP-2111,2024-12-22,Línea A,Perno M12,Tarde,OP-107,CNC-02,3309,4196,81,6.68,67.2,Cambio de turno,42.1,437.23,3938000.0,100.0,1.93,51
OP-2112,2024-12-06,Línea B,Tornillo M8,Noche,OP-111,Torno-02,2029,4818,9,6.95,34.5,Sin causa,39.8,287.57,4258000.0,100.0,0.19,49
OP-2113,2024-02-03,Línea D,Varilla Roscada,Noche,OP-110,Prensa-02,3210,4543,25,5.92,15.0,Sin causa,37.2,628.18,3886000.0,100.0,0.55,5
OP-2114,2024-02-01,Línea B,Perno M12,Tarde,OP-105,Torno-01,3091,983,33,2.03,34.6,Sin causa,34.7,210.9,3466000.0,31.8,3.36,5
OP-2115,2024-12-25,Línea B,Perno M12,Tarde,OP-101,Prensa-01,3870,934,130,2.17,90.9,Sin causa,34.1,435.37,3186000.0,24.13,13.92,52
OP-2116,2024-06-07,Línea A,"Clavo 3""",Mañana,OP-105,CNC-01,2365,1181,121,0.98,25.9,Sin causa,23.1,429.62,269000.0,49.94,10.25,23
OP-2117,2024-11-27,Línea D,Remache 6mm,Mañana,OP-109,Prensa-02,3929,3229,38,0.88,6.3,Mantenimiento,21.6,128.01,2551000.0,82.18,1.18,48
OP-2118,2024-10-22,Línea C,Perno M12,Noche,OP-104,CNC-01,3569,3552,0,6.04,45.6,Falla eléctrica,19.5,650.7,3601000.0,99.52,0.0,43
OP-2119,2024-12-14,Línea C,Arandela 10mm,Noche,OP-101,Prensa-02,2862,4502,64,4.19,40.3,Falla eléctrica,20.5,573.97,1653000.0,100.0,1.42,50
OP-2120,2024-08-16,Línea A,Remache 6mm,Tarde,OP-109,Prensa-02,4412,4140,136,6.21,83.6,Sin causa,34.6,199.25,1385000.0,93.83,3.29,33
OP-2121,2024-05-25,Línea A,Tornillo M8,Noche,OP-106,CNC-01,1701,706,125,2.62,66.7,Sin causa,34.4,373.14,2181000.0,41.5,17.71,21
OP-2122,2024-07-16,Línea B,Alambre Galv.,Mañana,OP-110,CNC-01,1291,438,134,3.09,56.7,Cambio de turno,19.0,281.99,2813000.0,33.93,30.59,29
OP-2123,2024-12-08,Línea A,Tuerca M8,Mañana,OP-105,Torno-02,4180,4046,112,7.21,117.1,Falla eléctrica,40.6,753.01,253000.0,96.79,2.77,49
OP-2124,2024-06-26,Línea D,Remache 6mm,Tarde,OP-106,CNC-01,1780,2312,92,7.98,101.3,Falla eléctrica,29.9,550.87,3808000.0,100.0,3.98,26
OP-2125,2024-01-12,Línea D,Tuerca M8,Mañana,OP-111,Torno-01,983,894,135,1.26,15.4,Sin causa,32.5,758.25,3602000.0,90.95,15.1,2
OP-2126,2024-08-24,Línea D,Remache 6mm,Mañana,OP-108,Prensa-01,2798,1466,132,6.34,29.8,Mantenimiento,20.0,625.05,1279000.0,52.39,9.0,34
OP-2127,2024-06-30,Línea A,"Clavo 3""",Tarde,OP-105,Torno-01,2740,2643,69,4.67,50.3,Mantenimiento,41.2,643.72,1393000.0,96.46,2.61,26
OP-2128,2024-03-27,Línea A,Arandela 10mm,Noche,OP-109,Prensa-01,3375,4827,60,0.53,8.6,Sin causa,20.2,282.65,1038000.0,100.0,1.24,13
OP-2129,2024-11-08,Línea D,"Clavo 3""",Mañana,OP-104,Torno-02,2268,2868,47,5.12,91.0,Falla eléctrica,23.7,686.53,2177000.0,100.0,1.64,45
OP-2130,2024-02-29,Línea A,Perno M12,Mañana,OP-106,Torno-02,4074,672,62,2.6,92.2,Sin causa,30.6,301.08,4807000.0,16.49,9.23,9
OP-2131,2024-09-09,Línea C,Remache 6mm,Noche,OP-100,Torno-02,4342,2317,30,3.13,35.1,Mantenimiento,31.4,670.23,2075000.0,53.36,1.29,37
OP-2132,2024-01-31,Línea C,Alambre Galv.,Tarde,OP-106,CNC-01,4794,3794,49,7.77,108.6,Sin causa,32.4,582.37,4645000.0,79.14,1.29,5
OP-2133,2024-04-21,Línea C,Tuerca M8,Tarde,OP-102,CNC-01,2710,2200,116,6.07,66.3,Sin causa,43.3,432.18,1070000.0,81.18,5.27,16
OP-2134,2024-05-27,Línea D,Alambre Galv.,Tarde,OP-110,Torno-02,2404,1917,97,0.91,26.8,Cambio de turno,18.9,177.75,1349000.0,79.74,5.06,22
OP-2135,2024-03-07,Línea D,Tornillo M8,Tarde,OP-103,Prensa-02,3137,568,126,5.61,74.6,Mantenimiento,36.3,500.65,2633000.0,18.11,22.18,10
OP-2136,2024-05-06,Línea D,Perno M12,Noche,OP-101,Prensa-02,1770,1042,133,0.6,80.7,Mantenimiento,29.6,518.38,925000.0,58.87,12.76,19
OP-2137,2024-07-22,Línea B,Alambre Galv.,Mañana,OP-106,Prensa-01,2424,2991,61,7.15,86.1,Cambio de turno,39.9,564.17,744000.0,100.0,2.04,30
OP-2138,2024-07-19,Línea C,Remache 6mm,Tarde,OP-107,Torno-02,803,2928,0,4.98,116.6,Sin causa,36.0,99.74,3416000.0,100.0,0.0,29
OP-2139,2024-09-11,Línea D,Tornillo M8,Noche,OP-100,Torno-01,648,4151,39,5.23,109.6,Sin causa,39.9,237.18,1843000.0,100.0,0.94,37
OP-2140,2024-02-11,Línea D,Tornillo M8,Mañana,OP-100,Torno-02,4229,2830,144,0.62,49.6,Mantenimiento,41.3,470.71,3554000.0,66.92,5.09,6
OP-2141,2024-03-26,Línea B,Remache 6mm,Noche,OP-104,Prensa-02,3867,1059,80,1.13,51.8,Mantenimiento,39.1,689.36,1291000.0,27.39,7.55,13
OP-2142,2024-08-17,Línea A,Tuerca M8,Mañana,OP-107,Torno-01,2003,2679,56,4.45,2.8,Sin causa,21.6,224.38,1639000.0,100.0,2.09,33
OP-2143,2024-07-24,Línea A,"Clavo 3""",Noche,OP-100,CNC-01,2635,2344,76,3.36,50.1,Falla eléctrica,32.5,722.77,4486000.0,88.96,3.24,30
OP-2144,2024-10-08,Línea D,Tornillo M8,Noche,OP-102,Prensa-01,3074,4667,67,6.64,21.3,Mantenimiento,38.9,781.37,2982000.0,100.0,1.44,41
OP-2145,2024-05-22,Línea B,Perno M12,Mañana,OP-109,Prensa-02,4731,2533,84,2.63,14.4,Sin causa,38.9,116.7,789000.0,53.54,3.32,21
OP-2146,2024-03-11,Línea A,Tornillo M8,Tarde,OP-106,CNC-01,1766,4358,132,3.5,97.9,Falla eléctrica,43.0,593.04,2219000.0,100.0,3.03,11
OP-2147,2024-08-08,Línea C,Alambre Galv.,Mañana,OP-101,Torno-02,2583,4875,6,1.4,2.6,Cambio de turno,29.2,348.13,680000.0,100.0,0.12,32
OP-2148,2024-10-08,Línea C,Arandela 10mm,Noche,OP-102,CNC-02,1892,1585,165,4.27,15.5,Falla eléctrica,18.2,153.42,518000.0,83.77,10.41,41
OP-2149,2024-05-22,Línea B,Varilla Roscada,Mañana,OP-102,Torno-02,2385,1133,134,7.66,79.7,Sin causa,37.6,216.89,2908000.0,47.51,11.83,21
OP-2150,2024-12-27,Línea C,Varilla Roscada,Noche,OP-108,Prensa-02,1597,3918,135,2.49,68.1,Sin causa,25.5,321.03,736000.0,100.0,3.45,52
OP-2151,2024-07-31,Línea B,Tornillo M8,Noche,OP-109,Torno-02,2081,3208,6,6.43,51.5,Mantenimiento,35.7,63.44,1229000.0,100.0,0.19,31
OP-2152,2024-07-02,Línea A,Tuerca M8,Tarde,OP-110,CNC-01,2476,3049,47,1.73,96.9,Mantenimiento,19.3,570.93,548000.0,100.0,1.54,27
OP-2153,2024-12-15,Línea D,Arandela 10mm,Noche,OP-107,Torno-02,1380,2660,101,7.14,28.6,Sin causa,27.6,390.25,734000.0,100.0,3.8,50
OP-2154,2024-07-13,Línea D,Perno M12,Noche,OP-102,CNC-02,637,4222,52,4.34,24.8,Sin causa,35.1,309.48,2352000.0,100.0,1.23,28
OP-2155,2024-04-28,Línea B,Tornillo M8,Mañana,OP-104,Prensa-01,1141,4007,161,1.44,61.6,Falla eléctrica,21.4,700.74,995000.0,100.0,4.02,17
OP-2156,2024-03-18,Línea C,Tornillo M8,Tarde,OP-107,Prensa-01,3464,3987,174,6.37,12.8,Mantenimiento,26.6,774.77,1709000.0,100.0,4.36,12
OP-2157,2024-02-12,Línea D,Remache 6mm,Mañana,OP-107,Prensa-02,2564,1190,75,7.16,82.7,Cambio de turno,21.9,393.74,2289000.0,46.41,6.3,7
OP-2158,2024-03-31,Línea B,Varilla Roscada,Tarde,OP-111,Torno-01,3790,2533,24,1.59,112.2,Falla eléctrica,42.1,283.07,1132000.0,66.83,0.95,13
OP-2159,2024-03-18,Línea A,Remache 6mm,Mañana,OP-109,Torno-01,3510,857,48,1.38,97.4,Mantenimiento,38.9,502.42,847000.0,24.42,5.6,12
